id,Accept
6b460a6cfab,1
2ace454000f,0
cfdced145b2,1
00a997fa48d,0
4a4cbc40146,0
ab1a1dd2de5,0
940147feacd,0
79d6e9410e3,0
68fda46ec99,0
a2fd6e57837,0
401c7b8abda,0
6ed3054cbb5,0
8300020edfd,1
a78bf0c46dd,0
5a2568eb5c3,1
c4c04f687ee,1
485d83be119,1
a9b75d1a3ae,0
f5b624a32cd,1
fe8442bf601,1
a2f2e8eb05f,0
c18f8a302ec,0
d3d7ba37cee,0
d34cf1e0207,1
9581a948427,0
eb65be043e0,1
0637f1646f6,1
641d05c1547,0
d197405a82e,1
a9be832e60b,0
e5c20d06c65,0
88509ef21bd,1
df976fab975,0
9a30e1b60ea,0
bb274e01a06,1
c7d0ad62b3d,1
504c6c1f8d6,0
7bff85651dd,1
9c59a6c5a53,1
c42999368f2,1
6aa657135c7,0
2930e1fb708,0
257d155fe4f,1
efdce0159c3,0
c9e1c0e46f6,1
3730c9955a4,0
c11da07dcb2,0
35ec2e19d31,1
361306b25c8,0
d3d4c881c31,1
9c5cc7a5d9b,1
7d99e80e832,1
569d09a3c93,1
e4844c3e0db,1
10d36b65715,1
c054e10de25,1
d6d6791e7c5,0
c974dd21a82,1
d770a01df33,0
a9624b90716,1
06309b7d3f3,0
aa095ef54c6,1
70c685f0864,1
3697a9b0dbb,1
cc7ce566888,1
3dadcf38b3a,0
01e53019c2d,1
656b43dc103,0
262171d7069,1
91e488536aa,1
740ea9249ab,1
e72707eb8b1,1
11a9bc824a3,0
4c6d102bbc3,0
4f583f5fd1f,0
39b7a313c7c,0
ab2f92c99ae,0
bd154e68ba5,1
875fad94b47,0
dece2848934,1
002ed8d7cb3,0
422a98cad4f,0
4ac41978353,0
10993f317c3,1
7ac54323dd3,0
07d070c1f3a,1
3c22957fb10,1
7151ed1ba6c,1
b45486c7ce8,1
463430a049f,0
853a957125d,0
af4f0079ffa,0
1f5946044b5,0
28c858ba950,1
6f08732a419,1
9f5e97df1eb,1
